date,market,MACD,Signal Line,MACD Histogram,Signal
2022-04-28,2077.03,-56.40698973811868,-44.83655498680565,-11.57043475131303,-1
2022-04-29,1968.67,-63.682448197713256,-48.605733628987174,-15.076714568726082,-1
2022-04-30,1969.67,-68.57709572933072,-52.600006049055885,-15.977089680274837,-1
2022-05-01,1970.67,-71.55065609479425,-56.39013605820356,-15.16052003659069,-1
2022-05-02,1958.31,-74.05095944557252,-59.922300735677354,-14.128658709895163,-1
2022-05-03,1916.41,-78.50845113697346,-63.63953081593658,-14.868920321036882,-1
2022-05-04,2057.63,-69.84069162297737,-64.87976297734474,-4.9609286456326345,-1
2022-05-05,1878.82,-76.51785221317459,-67.20738082451071,-9.310471388663885,-1
2022-05-06,1861.08,-82.29240421730992,-70.22438550307055,-12.068018714239372,-1
2022-05-07,1862.08,-85.79904861693353,-73.33931812584315,-12.459730491090383,-1
2022-05-08,1863.08,-87.48888056972237,-76.169230614619,-11.319649955103372,-1
2022-05-09,1547.11,-113.02138274846288,-83.53966104138777,-29.48172170707511,-1
2022-05-10,1598.44,-127.64278607655342,-92.3602860484209,-35.28250002813252,-1
2022-05-11,1395.03,-153.87012160623635,-104.66225315998399,-49.20786844625236,-1
2022-05-12,1323.5,-178.37119506560362,-119.40404154110793,-58.967153524495686,-1
2022-05-13,1419.42,-187.8827347267536,-133.09978017823707,-54.78295454851653,-1
2022-05-14,1420.42,-193.11390984900208,-145.10260611239008,-48.01130373661201,-1
2022-05-15,1421.42,-194.93190847926485,-155.06846658576504,-39.86344189349981,-1
2022-05-16,1403.08,-195.5978400730121,-163.17434128321446,-32.423498789797634,-1
2022-05-17,1428.88,-191.8324264775374,-168.90595832207907,-22.926468155458338,-1
2022-05-18,1375.09,-190.98713176339038,-173.32219301034132,-17.664938753049057,-1
2022-05-19,1389.23,-187.02039508691155,-176.06183342565538,-10.95856166125617,-1
2022-05-20,1361.41,-184.00052566702743,-177.6495718739298,-6.350953793097631,-1
2022-05-21,1362.41,-179.45788694014345,-178.01123488717252,-1.4466520529709328,-1
2022-05-22,1363.41,-173.7739633001047,-177.16378056975896,3.389817269654259,1
2022-05-23,1372.08,-166.6487927752869,-175.06078301086455,8.411990235577662,1
2022-05-24,1363.91,-159.81900056609584,-172.01242652191084,12.193425955815002,1
2022-05-25,1363.78,-152.65709498264277,-168.14136021405722,15.48426523141444,1
2022-05-26,1302.29,-150.21141858554847,-164.55537188835547,14.343953302806995,1
2022-05-27,1258.19,-150.1014280341435,-161.66458311751308,11.563155083369566,1
2022-05-28,1259.19,-148.22492343649992,-158.97665118131047,10.751727744810552,1
2022-05-29,1260.19,-144.98578253023788,-156.17847745109597,11.192694920858088,1
2022-05-30,1261.19,-140.71596236116966,-153.08597443311072,12.370012071941062,1
